ID,Material/Polymer Name,Polymer Family,Healing Mechanism,External Stimulus Required,Healing Temp (°C),Healing Temp Notes,Healing Time (hrs),Healing Efficiency (%),Efficiency Measured Property,Tensile Strength (MPa),Elongation at Break (%),Flexibility Category,Application Area,Main Advantages,Main Limitations/Trade-offs,Supporting Evidence,Paper Title,Authors,Year,Journal,DOI/Link,Data Collector,Date Collected,Verification Status,Notes/Uncertainty Flags
P001,PEGMA-co-HEMA-UPy,Supramolecular Polymer,Hydrogen Bonding,Autonomous (Room Temp),25,Table 2 says RT; surrounding text specifies 25°C,0.0833,100,Tensile Strength,0.72,≥300,Highly Flexible/Elastomeric,Sensors,Approximately complete tensile-strength recovery and full conductivity restoration within five minutes at room temperature.,The review explicitly describes its mechanical strength as limited.,"Table 2: σ = 0.72 MPa, ε ≥300%, RT, 5 min, \~100% efficiency. Surrounding text says the full-cut copolymer restored tensile strength and conductivity within 5 min at 25°C.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,
P002,poly(AM-co-MPEG),Other,Hydrogen Bonding,Autonomous (Room Temp),25,Also tested at −25°C,0.0083,90,Tensile Strength,0.24,1120,Highly Flexible/Elastomeric,Not Stated in Review,Heals extremely quickly at room temperature and also remains healable below freezing.,The review states that mechanical strength remained relatively limited.,"Table 2: σ = 0.24 MPa, ε = 1120%, RT and −25°C, 30 s and 10 min, \~90%.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,Polymer Family: ionogel formed in a deep eutectic solvent
P003,poly(MAA-co-OEGMA),Hydrogel,Other,Autonomous (Room Temp),25,Table 2 says RT; surrounding text specifies 25°C,0.1333,100,Tensile Strength,3,520,Highly Flexible/Elastomeric,Not Stated in Review,Combines hydrogen bonding and dynamic imine exchange and reports approximately complete recovery in Table 2.,No separate practical limitation is explicitly stated for this exact Table 2 entry.,"Table 2: σ = 3.0 MPa, ε = 520%, RT, 8 min, \~100%.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,Healing Mechanism: hydrogen bonding combined with imine/Schiff-base bonds
P004,poly(MAA-co-OEGMA)-BIFA,Hydrogel,Other,Heat,35,Review says moderately elevated temperature was required,0.1333,100,Tensile Strength,3.7,353,Highly Flexible/Elastomeric,Other,"High reported tensile strength and very rapid healing, with light-responsive actuation functionality.",The review states that moderately elevated temperature was required to initiate healing.,"Table 2: σ = 3.7 MPa, ε = 353%, 35°C, 8 min, 100%.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,Healing Mechanism: hydrogen bonding combined with π–π stacking; Application Area: hydrogel actuator
P005,poly(etherimide) with fatty dimer diamine,Other,Other,Autonomous (Room Temp),25,Table 2 condition,264,100,Tensile Strength,6,470,Highly Flexible/Elastomeric,Not Stated in Review,Reports complete recovery at room temperature without intentionally introduced dynamic bonding motifs.,Healing requires 11 days which the review says is unsuitable for real-time applications.,"Table 2: σ \~6 MPa, ε \~470%, 25°C, 11 days, 100%.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,Polymer Family: branched polyetherimide; Healing Mechanism: polymer-chain interdiffusion
P006,brushed poly(urethane),Polyurethane,Hydrogen Bonding,Autonomous (Room Temp),36,The review defines room temperature as 20–36°C,3,69,Tensile Strength,10.5,660,Highly Flexible/Elastomeric,Not Stated in Review,Long aliphatic branches shorten healing from approximately 100 h for the shorter-branched formulation to 3 h.,Recovery is incomplete at 69%, and the reported condition is 36°C.,"Table 2: σ = 10.5 MPa, ε = 660%, 36°C, 3 h, 69%.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,
P007,poly(ACMO-co-mPEG480),Elastomer,Hydrogen Bonding,Autonomous (Room Temp),25,Table 2 says RT; surrounding text specifies 25°C,0.0028,86,Tensile Strength,8.4,Not Reported,Highly Flexible/Elastomeric,Sensors,Recovers 86% in only ten seconds while retaining relatively high tensile strength.,The review says anisotropic chain orientation slightly reduced healing efficiency by restricting mobility.,"Table 2: σ \~8.4 MPa, RT, 10 s, 86%.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,
P008,poly(ACMO-co-mPEG),Elastomer,Other,Autonomous (Room Temp),25,Table 2 says RT; surrounding text specifies 25°C,0.0083,95,Tensile Strength,12.7,250,Highly Flexible/Elastomeric,Soft Robotics,Combines approximately 12.7 MPa tensile strength with 95% healing in 30 seconds,Excessive Zn²⁺ loading of at least 5 wt% reduced healing efficiency because of restricted chain mobility.,"Table 2: σ = 12.7 MPa, ε = 250%, RT, 30 s, 95%.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,Healing Mechanism: hydrogen bonding combined with Zn²⁺ metal–ligand coordination
P009,poly(ACMO-co-mPEG480),Elastomer,Hydrogen Bonding,Autonomous (Room Temp),25,Table 2 says RT; surrounding text specifies 25°C,0.0028,93,Tensile Strength,8.4,780,Highly Flexible/Elastomeric,Not Stated in Review,Reports 93% recovery in ten seconds, 8.4 MPa tensile strength and 780% elongation.,The review states that phase sizes below 9 nm were not achieved leaving their effect unresolved.,"Table 2: σ = 8.4 MPa, ε = 780%, RT, 10 s, 93%.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,
P010,PMMA/PEGA copolymer,Elastomer,Other,Autonomous (Room Temp),24,Exact temperature in Table 2; prose describes 25°C,24,98,Tensile Strength,18,"30,000",Highly Flexible/Elastomeric,Other,"Combines extreme reported stretchability, stiffness and fatigue resistance with 98% recovery.",Healing requires 24 h.,"Table 2: σ = 18 MPa, ε = 30,000%, 24°C, 24 h, 98%.",Requirements for Achieving Self-Healing at Low/Room Temperature in Polymers,Kanyarat Mantala and Daniel Crespy,2025,Macromolecules,https://doi.org/10.1021/acs.macromol.5c01424,RS,2026-08-04,,Healing Mechanism: Li⁺–O ion-dipole interactions combined with PMMA aggregation; Application Area: ligament-mimetic elastomer
